Pair,Video,True_ISC,Null_Mean,Null_Std,p_value,Significant_05
pair13_together_B_3,9,0.012878828,0.006339941203012131,0.020659809686090037,0.45454545454545453,False
pair13_together_B_3,3,0.021571433,0.010317322349641472,0.02787748591156441,0.35764235764235763,False
pair13_together_B_3,10,0.010766355,0.011518135421443731,0.018627889560690294,0.5304695304695305,False
pair13_together_B_3,5,0.013318211,0.012892611464776564,0.023348477583592715,0.4885114885114885,False
pair13_together_B_3,4,0.021126272,0.0015708081072662026,0.01810145486934861,0.15084915084915085,False
pair13_together_B_3,6,0.02073161,-0.0019244673682915162,0.028424414107691334,0.25774225774225773,False
pair13_together_B_3,8,-0.03932983,0.009891932192098466,0.026780122362271938,0.9590409590409591,False
pair13_together_B_3,7,-0.008415811,0.0041684943914879116,0.018458574131217383,0.7562437562437563,False
pair10_together_A_10,5,-0.0206929,0.0038285193615593014,0.021516440494329846,0.8811188811188811,False
pair10_together_A_10,6,0.011263096,-0.0008541883836514899,0.017982770810553737,0.2217782217782218,False
pair10_together_A_10,4,-0.034917455,-0.00042646473000058905,0.019021795529235212,0.952047952047952,False
pair10_together_A_10,7,-0.02649868,0.006504363018961157,0.02093528708282327,0.9920079920079921,False
pair10_together_A_10,8,0.017872626,0.00037555107831212806,0.019449620087619288,0.15784215784215785,False
pair10_together_A_10,3,-0.008116647,0.0024382160283857954,0.022259573396961288,0.6423576423576424,False
pair10_together_A_10,10,0.018251011,0.00789674805974937,0.018244778570967932,0.2777222777222777,False
pair10_together_A_10,9,-0.0066668363,0.012060080031631514,0.030698008260622578,0.6813186813186813,False
pair17_together_B_7,3,0.007506587,-0.002181695734732784,0.022809453386075713,0.3336663336663337,False
pair17_together_B_7,5,0.010113667,0.0018672099057876039,0.021305509091317513,0.3436563436563437,False
pair17_together_B_7,10,0.03606827,-0.0010061302353278733,0.020349772930518168,0.013986013986013986,True
pair17_together_B_7,9,-0.020108521,-0.0017883232673630118,0.027072721453861897,0.6923076923076923,False
pair17_together_B_7,8,0.020407828,0.0074934616505051965,0.025780582076784065,0.28771228771228774,False
pair17_together_B_7,6,-0.012744825,-0.00040987516986206173,0.019064483204079885,0.7322677322677322,False
pair17_together_B_7,4,0.012473392,-0.0010324849597382127,0.01820772674320196,0.1938061938061938,False
pair17_together_B_7,7,-0.013155926,-0.0001095694296527654,0.019623596116481803,0.6723276723276723,False
pair6_together_A_6,5,-0.02893821,0.0022582209840184076,0.02573748473971771,0.8821178821178821,False
pair6_together_A_6,3,0.0015723797,0.006342626331839711,0.0166345816642973,0.5914085914085914,False
pair6_together_A_6,6,0.005959883,-0.0008286815410247073,0.020678897399092476,0.34965034965034963,False
pair6_together_A_6,8,0.047338497,-0.00313694773367024,0.015066178352581179,0.000999000999000999,True
pair6_together_A_6,4,0.034705456,0.002130002619640436,0.019431607545245484,0.024975024975024976,True
pair6_together_A_6,10,-0.021506501,-0.0010564248287437295,0.015088732455466325,0.8871128871128872,False
pair6_together_A_6,9,0.033541366,0.0041916388383760935,0.02082138736386369,0.07792207792207792,False
pair6_together_A_6,7,0.008031072,-0.0004978023215662688,0.02274146936821596,0.33966033966033965,False
pair1_together_A_1,7,0.035657793,-0.0034001081520109435,0.02863134310728,0.12887112887112886,False
pair1_together_A_1,6,0.052762795,-0.0007850885103689506,0.020740334698675835,0.000999000999000999,True
pair1_together_A_1,4,0.03329063,-0.004679580090683885,0.014657800751355848,0.000999000999000999,True
pair1_together_A_1,8,0.026002552,-0.004439607346983393,0.023144966844762874,0.12687312687312688,False
pair1_together_A_1,5,0.0028572718,-0.0018339977771393023,0.020202284702205957,0.4015984015984016,False
pair1_together_A_1,10,0.040847976,-0.006235034040990285,0.015621992048015664,0.000999000999000999,True
pair1_together_A_1,3,0.01586682,0.007207422117237002,0.018862972829734707,0.3726273726273726,False
pair1_together_A_1,9,0.010683841,0.002930193604202941,0.02253063434280331,0.3756243756243756,False
pair11_together_B_1,7,0.0068829046,0.0040360952978953715,0.02054735665844436,0.3856143856143856,False
pair11_together_B_1,9,-0.0033196507,0.0036991407182067632,0.02619307555683827,0.5014985014985015,False
pair11_together_B_1,10,-0.016940821,-0.0008200302216428099,0.025485604507252794,0.7822177822177823,False
pair11_together_B_1,5,0.029762067,0.003916909564402886,0.028922584923175027,0.2057942057942058,False
pair11_together_B_1,3,-0.0073190886,0.001848175039320722,0.022051191683748562,0.7162837162837162,False
pair11_together_B_1,4,0.009641748,-0.0002590875930618495,0.018929392667678367,0.27472527472527475,False
pair11_together_B_1,6,0.00041385333,0.012538560777087695,0.01739404088936615,0.7132867132867133,False
pair11_together_B_1,8,-0.0018571508,0.012389944033580833,0.017447083208238685,0.7222777222777222,False
pair2_together_A_2,3,0.048591267,-0.0009895932324288878,0.017151520865022554,0.000999000999000999,True
pair2_together_A_2,4,-0.018035505,0.021958084685727953,0.0364462503969972,0.9120879120879121,False
pair2_together_A_2,6,0.013522133,-0.0030934088579961097,0.021610728377082614,0.25574425574425574,False
pair2_together_A_2,10,-0.010669377,0.013852229297393933,0.031267655157726754,0.7772227772227772,False
pair2_together_A_2,5,0.13766047,0.016949993331450967,0.029333673332564016,0.000999000999000999,True
pair2_together_A_2,9,-0.025165727,0.00941547582577914,0.025844320355236202,0.8381618381618382,False
pair2_together_A_2,7,0.02376092,0.007173265679564792,0.021290331072763815,0.23576423576423577,False
pair2_together_A_2,8,0.015997022,0.002467748073628172,0.023585900441430125,0.3196803196803197,False
pair3_together_A_3,4,0.008536741,-0.006200497689831537,0.048371750181514246,0.4225774225774226,False
pair3_together_A_3,8,0.018024668,0.0011337879529455678,0.01572731156397594,0.07692307692307693,False
pair3_together_A_3,10,0.026025979,0.01063039889477659,0.019768873740580502,0.14485514485514486,False
pair3_together_A_3,7,-0.028117154,-0.0010574971816968172,0.022893647126211912,0.8431568431568431,False
pair3_together_A_3,6,0.029259862,-0.0013943941743345932,0.023859222646727574,0.08491508491508491,False
pair3_together_A_3,3,-0.01684534,0.001522510450333357,0.02335929316353597,0.7852147852147852,False
pair3_together_A_3,9,0.016415417,0.004665775721194223,0.015697253070082084,0.20679320679320679,False
pair3_together_A_3,5,0.013372782,0.0095636784718954,0.0235738230490393,0.4915084915084915,False
